x,y,z,vx,vy,vz,theta_z,theta_y,theta_x
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,3.149466319388264171e-03,0.000000000000000000e+00,-3.141592653589793116e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.999752026671976490e-01,3.149336154371539832e-03,0.000000000000000000e+00,-4.959364073312461557e-05,3.149075827565905872e-03,0.000000000000000000e+00,-3.125845321992851922e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.999008168178676992e-01,6.297891357375815478e-03,0.000000000000000000e+00,-9.917498356610784157e-05,3.147904448930386768e-03,0.000000000000000000e+00,-3.110097990395910283e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.997768608977167626e-01,9.444884851300669459e-03,0.000000000000000000e+00,-1.487317336483594667e-04,3.145952473952366105e-03,0.000000000000000000e+00,-3.094350658798969089e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.996033656445069249e-01,1.258953626569614750e-02,0.000000000000000000e+00,-1.982516022276355813e-04,3.143220386669575653e-03,0.000000000000000000e+00,-3.078603327202027895e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.993803740804334923e-01,1.573106581088554862e-02,0.000000000000000000e+00,-2.477223096973213065e-04,3.139708864566790290e-03,0.000000000000000000e+00,-3.062855995605086701e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.991079415014567200e-01,1.886869447133246447e-02,0.000000000000000000e+00,-2.971315886414457115e-04,3.135418778407833475e-03,0.000000000000000000e+00,-3.047108664008145062e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.987861354635899191e-01,2.200164419881586036e-02,0.000000000000000000e+00,-3.464671868766736832e-04,3.130351192019646678e-03,0.000000000000000000e+00,-3.031361332411203868e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.984150357661472186e-01,2.512913810536528472e-02,0.000000000000000000e+00,-3.957168704905208697e-04,3.124507362028492146e-03,0.000000000000000000e+00,-3.015614000814262674e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.979947344319556990e-01,2.825040065590835384e-02,0.000000000000000000e+00,-4.448684268750374444e-04,3.117888737548341494e-03,0.000000000000000000e+00,-2.999866669217321480e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.975253356845358965e-01,3.136465786058278277e-02,0.000000000000000000e+00,-4.939096677552091497e-04,3.110496959821532938e-03,0.000000000000000000e+00,-2.984119337620379842e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.970069559222574207e-01,3.447113746666519152e-02,0.000000000000000000e+00,-5.428284322113245382e-04,3.102333861811789988e-03,0.000000000000000000e+00,-2.968372006023438647e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.964397236894750987e-01,3.756906915006923836e-02,0.000000000000000000e+00,-5.916125896945586323e-04,3.093401467749693542e-03,0.000000000000000000e+00,-2.952624674426497453e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.958237796446534451e-01,4.065768470636538234e-02,0.000000000000000000e+00,-6.402500430350254986e-04,3.083701992630725770e-03,0.000000000000000000e+00,-2.936877342829555815e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.951592765254871464e-01,4.373621824127515989e-02,0.000000000000000000e+00,-6.887287314415536975e-04,3.073237841666011990e-03,0.000000000000000000e+00,-2.921130011232614621e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.944463791110261353e-01,4.680390636059248571e-02,0.000000000000000000e+00,-7.370366334924408460e-04,3.062011609685892383e-03,0.000000000000000000e+00,-2.905382679635673426e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.936852641808147757e-01,4.985998835948505375e-02,0.000000000000000000e+00,-7.851617701164453726e-04,3.050026080496471420e-03,0.000000000000000000e+00,-2.889635348038732232e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.928761204710554011e-01,5.290370641112890349e-02,0.000000000000000000e+00,-8.330922075632773418e-04,3.037284226189311542e-03,0.000000000000000000e+00,-2.873888016441790594e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.920191486278065574e-01,5.593430575462920301e-02,0.000000000000000000e+00,-8.808160603628491367e-04,3.023789206404429390e-03,0.000000000000000000e+00,-2.858140684844849400e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.911145611572281355e-01,5.895103488218084165e-02,0.000000000000000000e+00,-9.283214942725563331e-04,3.009544367546793196e-03,0.000000000000000000e+00,-2.842393353247908205e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.901625823728858578e-01,6.195314572542229975e-02,0.000000000000000000e+00,-9.755967292118527005e-04,2.994553241956501768e-03,0.000000000000000000e+00,-2.826646021650966567e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.891634483401269384e-01,6.493989384093669381e-02,0.000000000000000000e+00,-1.022630042183397467e-03,2.978819547032857985e-03,0.000000000000000000e+00,-2.810898690054025373e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.881174068175427427e-01,6.791053859485385313e-02,0.000000000000000000e+00,-1.069409770180045072e-03,2.962347184312554959e-03,0.000000000000000000e+00,-2.795151358457084179e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.870247171955307930e-01,7.086434334650776323e-02,0.000000000000000000e+00,-1.115924313076960099e-03,2.945140238502196462e-03,0.000000000000000000e+00,-2.779404026860142984e+00,0.000000000000000000e+00,3.141592653589793116e+00
